交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2016-05-01 00:13:10,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009052001201605015389334428,`2016050100130407768,`oJv3bwsiCPpksTpBsh3B7A9Kr6N8,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:14:07,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4000762001201605015389341218,`2016050100135707772,`oJv3bwiyvJJsDjLwLEVinaCOq8O0,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:15:02,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007672001201605015389342796,`2016050100145107779,`oJv3bwiiPJeA3MX8KJg6BwYiytHs,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错了性别，不错爱,`paytest,`0.08000,`2.00%
`2016-05-01 00:14:57,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4006732001201605015389348712,`2016050100145007777,`oJv3bwuIgqPOf_Kx6fIoq4MEWNn8,`JSAPI,`SUCCESS,`CFT,`CNY,`1.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】夏雪薇安之念念不忘,`paytest,`0.02000,`2.00%
`2016-05-01 00:14:55,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4002562001201605015389348869,`2016050100144807776,`oJv3bwtv2F8Dgo9qqACDurmaCG0M,`JSAPI,`SUCCESS,`ICBC_DEBIT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:15:25,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005322001201605015389355259,`2016050100152007781,`oJv3bwhu_Zy6dtbePly-DniftQy4,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:15:46,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4005612001201605015389355561,`2016050100154207784,`oJv3bwsqzHushK130AME62-ZTR6o,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:16:01,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4007472001201605015389357729,`2016050100155307786,`oJv3bwvYq66HjMwninXBDaDWPJHA,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:16:11,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009522001201605015389362670,`2016050100160607788,`oJv3bwoXR6BVVI97-BPo6LT7gQQs,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
`2016-05-01 00:17:50,`wxe9cc9f27c215ef34,`1328960401,`0,`WEB,`4009382001201605015389375533,`2016050100174507793,`oJv3bwiyoR-bWvOCG9I3t_K8SzUw,`JSAPI,`SUCCESS,`CFT,`CNY,`4.00,`0.00,`0,`0,`0,`0,`,`,`【微影院】错爱之不悔情书,`paytest,`0.08000,`2.00%
